target_table.target_column_name,source_table_name.source_column_name
F_SL_JOURNAL_DISTRIBUTION.CURRENCY_CODE,SLA_SubledgerJournalDistributionPVO.XlalinesCurrencyCode
F_SL_JOURNAL_DISTRIBUTION.LINE_DESCRIPTION,SLA_SubledgerJournalDistributionPVO.XlalinesDescription
F_SL_JOURNAL_DISTRIBUTION.ACCOUNTED_CR,SLA_SubledgerJournalDistributionPVO.XladistlinkUnroundedAccountedCr
F_SL_JOURNAL_DISTRIBUTION.ACCOUNTED_DR,SLA_SubledgerJournalDistributionPVO.XladistlinkUnroundedAccountedDr
F_SL_JOURNAL_DISTRIBUTION.ENTERED_CR,SLA_SubledgerJournalDistributionPVO.XladistlinkUnroundedEnteredCr
F_SL_JOURNAL_DISTRIBUTION.ENTERED_DR,SLA_SubledgerJournalDistributionPVO.XladistlinkUnroundedEnteredDr
F_SL_JOURNAL_DISTRIBUTION.CREATED_BY,SLA_SubledgerJournalDistributionPVO.XladistlinkCreatedBy
F_SL_JOURNAL_DISTRIBUTION.CREATION_DATE,SLA_SubledgerJournalDistributionPVO.XladistlinkCreationDate
F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATE_DATE,SLA_SubledgerJournalDistributionPVO.XladistlinkLastUpdateDate
F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATED_BY,SLA_SubledgerJournalDistributionPVO.XladistlinkLastUpdatedBy
F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATE_LOGIN,SLA_SubledgerJournalDistributionPVO.XladistlinkLastUpdateLogin
F_SL_JOURNAL_DISTRIBUTION.BZ_LOAD_DATE,SLA_SubledgerJournalDistributionPVO.AddDateTime
F_AP_INVOICE_LINE_DISTRIBUTION_V2.AP_INVOICE_HEADER_SK,F_AP_INVOICE_LINE_DISTRIBUTION.AP_INVOICE_HEADER_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INVOICE_ID,F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_ID
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INVOICE_LINE_NUMBER,F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_LINE_NUMBER
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INVOICE_DISTRIBUTION_ID,F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_DISTRIBUTION_ID
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_INV_LINE_NUMBER,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_INV_LINE_NUMBER
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DISTRIBUTION_LINE_NUMBER,F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_LINE_NUMBER
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_ACCOUNTING_DATE_SK,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_ACCOUNTING_DATE_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINE_ACCOUNTING_DATE_SK,F_AP_INVOICE_LINE_DISTRIBUTION.LINE_ACCOUNTING_DATE_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.ACCOUNT_SK,F_AP_INVOICE_LINE_DISTRIBUTION.ACCOUNT_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.BUSINESS_OFFERING_SK,F_AP_INVOICE_LINE_DISTRIBUTION.BUSINESS_OFFERING_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.COMPANY_SK,F_AP_INVOICE_LINE_DISTRIBUTION.COMPANY_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.COST_CENTER_SK,F_AP_INVOICE_LINE_DISTRIBUTION.COST_CENTER_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INDUSTRY_SK,F_AP_INVOICE_LINE_DISTRIBUTION.INDUSTRY_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INTERCOMPANY_SK,F_AP_INVOICE_LINE_DISTRIBUTION.INTERCOMPANY_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LEGAL_ENTITY_SK,F_AP_INVOICE_LINE_DISTRIBUTION.LEGAL_ENTITY_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.BUSINESS_UNIT_SK,F_AP_INVOICE_LINE_DISTRIBUTION.BUSINESS_UNIT_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.VENDOR_SITE_SK,F_AP_INVOICE_LINE_DISTRIBUTION.VENDOR_SITE_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LEDGER_SK,F_AP_INVOICE_LINE_DISTRIBUTION.LEDGER_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DISTRIBUTION_CLASS,F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_CLASS
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_DESCRIPTION,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_DESCRIPTION
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINE_DESCRIPTION,F_AP_INVOICE_LINE_DISTRIBUTION.LINE_DESCRIPTION
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DISTRIBUTION_AMOUNT,F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_AMOUNT
F_AP_INVOICE_LINE_DISTRIBUTION_V2.POSTED_FLAG,F_AP_INVOICE_LINE_DISTRIBUTION.POSTED_FLAG
F_AP_INVOICE_LINE_DISTRIBUTION_V2.TYPE_1099,F_AP_INVOICE_LINE_DISTRIBUTION.TYPE_1099
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INV_TAX_JURIDISTION_CODE,F_AP_INVOICE_LINE_DISTRIBUTION.INV_TAX_JURIDISTION_CODE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INV_TAX_RATE,F_AP_INVOICE_LINE_DISTRIBUTION.INV_TAX_RATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINE_TYPE_LOOKUP_CODE,F_AP_INVOICE_LINE_DISTRIBUTION.LINE_TYPE_LOOKUP_CODE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.PO_DISTRIBUTION_ID,F_AP_INVOICE_LINE_DISTRIBUTION.PO_DISTRIBUTION_ID
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_DATE,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_DATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_BY,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_BY
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_LOGIN,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_LOGIN
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_CODE_COMBINATION_ID,F_AP_INVOICE_LINE_DISTRIBUTION.DIST_CODE_COMBINATION_ID
F_AP_INVOICE_LINE_DISTRIBUTION_V2.BZ_LOAD_DATE,F_AP_INVOICE_LINE_DISTRIBUTION.BZ_LOAD_DATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.SV_LOAD_DATE,F_AP_INVOICE_LINE_DISTRIBUTION.SV_LOAD_DATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINES_AMOUNT_debug_only,F_AP_INVOICE_LINE_DISTRIBUTION.LINES_AMOUNT_debug_only
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INVOICE_DISTRIBUTION_ID,F_SL_JOURNAL_DISTRIBUTION.SOURCE_DIST_ID_NUM1
F_AP_INVOICE_LINE_DISTRIBUTION_V2.INVOICE_ID,F_SL_JOURNAL_DISTRIBUTION.TRANSACTION_SOURCE_ID_INT1
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_ACCOUNTING_DATE_SK,F_SL_JOURNAL_DISTRIBUTION.ACCOUNTING_DATE_SK
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINE_ACCOUNTING_DATE_SK,F_SL_JOURNAL_DISTRIBUTION.ACCOUNTING_DATE_SK
